ESII,E_dyn_kWh,E_leak_kWh,E_scrub_kWh,FIT,GS,NESII,N_scale,Sc,Sl,Sr,architecture_area_mm2,architecture_carbon_kg,architecture_energy_j,architecture_latency_ns,architecture_physical_metrics_complete,area_logic_mm2,area_macro_mm2,capacity_efficiency,carbon_kg,code,config_id,container_bits,crowding,family,feasible,fit_base,fit_bit,fit_word_post,flux_rel,front_rank,includes_scrub_energy,incremental_architecture_area_um2,incremental_architecture_energy_j,k,latency_base_ns,latency_ns,latency_scope,legacy_scenario_hash,metadata_bits,mux_2to1_count,n,notes,p5,p95,padding_bits,parity_width,rate,read_latency_ns,scenario_id,scrub_s,selection_granularity,system_failure_probability,topology,variant,write_latency_ns
0.019087786085230804,0.0,0.0,0.009405978378239999,187.37240779260665,3.675618170160641,0.6173285756506209,5,0.011751831678762632,0.9090909090909091,0.038082897389605914,,,,,False,1.0,85.89934592,0.5,84.09311802067025,sec-ded-64,sec-ded-64,128,inf,SEC-DED,True,224.84688935112797,4.362603830932795e-09,1.3960332258984942e-06,1.0,0,True,,,64,0.0,1.0,ecc_and_selection_fabric_only,345c9fa41d65d3c07dac87be94d2c27e7e94d853,9,784,72,,0.01880250573977656,0.06501458091442379,56,8,0.8888888888888888,,moderate-low-carbon,10.0,bank,0.008173326701964911,gated_parallel,"Hamming SEC-DED (72,64)",
0.03154923535642744,0.0,0.0,0.010581725675520001,164.88771885749384,4.791654432805913,27.583114518181088,5,0.010453416111255099,0.8849557522123894,0.06309957553001433,,,,,False,1.2,96.63676416,0.5,94.66250777325405,sec-daec-64,sec-daec-64,128,1.1804060916418944,SEC-DAEC,True,224.84688935112797,4.362603830932795e-09,1.2285092387906748e-06,1.0,0,True,,,64,0.0,1.3,ecc_and_selection_fabric_only,345c9fa41d65d3c07dac87be94d2c27e7e94d853,9,784,73,,0.01880250573977656,0.06501458091442379,55,9,0.8767123287671232,,moderate-low-carbon,10.0,bank,0.007196065520064132,gated_parallel,SEC-DAEC 64-bit payload,
0.034685970588184234,0.0,0.0,0.012933220270079999,159.26654662371567,4.7776364562580875,34.37081063419031,5,0.008567197310142553,0.8620689655172414,0.06966459450741065,,,,,False,1.5,118.11160064,0.5,115.7242872784216,taec-64,taec-64,128,1.866218274925683,TAEC,True,224.84688935112797,4.362603830932795e-09,1.1866282420137202e-06,1.0,0,True,,,64,0.0,1.6,ecc_and_selection_fabric_only,345c9fa41d65d3c07dac87be94d2c27e7e94d853,9,784,75,,0.01880250573977656,0.06501458091442379,53,11,0.8533333333333334,,moderate-low-carbon,10.0,bank,0.006951599807010322,gated_parallel,TAEC 64-bit payload,
0.06501458091442379,0.0,0.0,0.01410896756736,112.42344467556399,6.743935565318266,100.00000000000001,5,0.007836887596367675,0.8064516129032259,0.1308240206478128,,,,,False,2.1,128.84901888,0.5,126.60167703100538,bch-63,bch-63-51-t2,128,inf,BCH,True,224.84688935112797,4.362603830932795e-09,8.376199355390965e-07,1.0,0,True,,,51,0.0,2.4,ecc_and_selection_fabric_only,345c9fa41d65d3c07dac87be94d2c27e7e94d853,9,784,63,"BCH(63,51,2)",0.01880250573977656,0.06501458091442379,2,12,0.8095238095238095,,moderate-low-carbon,10.0,bank,0.004912043140565481,gated_parallel,"BCH(63,51,t=2)",
0.01880250573977656,0.0,0.0,0.018811956756479998,187.37240779260665,3.010770914016305,0.0,5,0.0062209898044663405,0.8333333333333334,0.038082897389605914,,,,,False,1.8,171.79869184,0.5,168.0322360413405,polar-64-48,polar-64-48-sc,128,inf,POLAR,True,224.84688935112797,4.362603830932795e-09,1.3960332258984942e-06,1.0,1,True,,,48,0.0,2.0,ecc_and_selection_fabric_only,345c9fa41d65d3c07dac87be94d2c27e7e94d853,9,784,64,"Polar (N=64, K=48) SC decoder",0.01880250573977656,0.06501458091442379,0,16,0.75,,moderate-low-carbon,10.0,bank,0.008173326701964911,gated_parallel,"Polar(64,48) successive-cancellation",
0.01908777013217663,0.0,0.0,0.009405978378239999,187.37240779260665,3.675539556001814,0.6173119317517971,5,0.011750993872016672,0.9090909090909091,0.038082897389605914,,,,,False,1.0,85.89934592,0.5,84.09918487672421,sec-ded-64,sec-ded-64,128,inf,SEC-DED,True,224.84688935112797,4.362603830932795e-09,1.3960332258984942e-06,1.0,0,True,,,64,0.0,1.0,ecc_and_selection_fabric_only,b706994012b7313c1b42ebb8c783fbb4fcfea627,9,784,72,,0.018802497653968533,0.06501454435757856,56,8,0.8888888888888888,,moderate-high-carbon,10.0,bank,0.008173326701964911,gated_parallel,"Hamming SEC-DED (72,64)",
0.03154921182771578,0.0,0.0,0.010581725675520001,164.88771885749384,4.7915518768100585,27.583098094531024,5,0.01045267034675623,0.8849557522123894,0.06309957553001433,,,,,False,1.2,96.63676416,0.5,94.66933298631476,sec-daec-64,sec-daec-64,128,1.1804059590477884,SEC-DAEC,True,224.84688935112797,4.362603830932795e-09,1.2285092387906748e-06,1.0,0,True,,,64,0.0,1.3,ecc_and_selection_fabric_only,b706994012b7313c1b42ebb8c783fbb4fcfea627,9,784,73,,0.018802497653968533,0.06501454435757856,55,9,0.8767123287671232,,moderate-high-carbon,10.0,bank,0.007196065520064132,gated_parallel,SEC-DAEC 64-bit payload,
0.034685949262891154,0.0,0.0,0.012933220270079999,159.26654662371567,4.777534028105697,34.370803160470764,5,0.008566585082561643,0.8620689655172414,0.06966459450741065,,,,,False,1.5,118.11160064,0.5,115.73262920549581,taec-64,taec-64,128,1.8662178771433644,TAEC,True,224.84688935112797,4.362603830932795e-09,1.1866282420137202e-06,1.0,0,True,,,64,0.0,1.6,ecc_and_selection_fabric_only,b706994012b7313c1b42ebb8c783fbb4fcfea627,9,784,75,,0.018802497653968533,0.06501454435757856,53,11,0.8533333333333334,,moderate-high-carbon,10.0,bank,0.006951599807010322,gated_parallel,TAEC 64-bit payload,
0.06501454435757856,0.0,0.0,0.01410896756736,112.42344467556399,6.743791283003024,100.00000000000001,5,0.007836328725832302,0.8064516129032259,0.1308240206478128,,,,,False,2.1,128.84901888,0.5,126.61077731508632,bch-63,bch-63-51-t2,128,inf,BCH,True,224.84688935112797,4.362603830932795e-09,8.376199355390965e-07,1.0,0,True,,,51,0.0,2.4,ecc_and_selection_fabric_only,b706994012b7313c1b42ebb8c783fbb4fcfea627,9,784,63,"BCH(63,51,2)",0.018802497653968533,0.06501454435757856,2,12,0.8095238095238095,,moderate-high-carbon,10.0,bank,0.004912043140565481,gated_parallel,"BCH(63,51,t=2)",
0.018802497653968533,0.0,0.0,0.018811956756479998,187.37240779260665,3.0107061467591416,0.0,5,0.006220543732296318,0.8333333333333334,0.038082897389605914,,,,,False,1.8,171.79869184,0.5,168.04436975344842,polar-64-48,polar-64-48-sc,128,inf,POLAR,True,224.84688935112797,4.362603830932795e-09,1.3960332258984942e-06,1.0,1,True,,,48,0.0,2.0,ecc_and_selection_fabric_only,b706994012b7313c1b42ebb8c783fbb4fcfea627,9,784,64,"Polar (N=64, K=48) SC decoder",0.018802497653968533,0.06501454435757856,0,16,0.75,,moderate-high-carbon,10.0,bank,0.008173326701964911,gated_parallel,"Polar(64,48) successive-cancellation",
