operation,n,mean_delta_pJ_per_operation,sample_sd_pJ,minimum_pJ,maximum_pJ,hsiao_lower_count
Idle,4,0.019108014,0.039516559,-0.028662749,0.068116755,1
Write,4,0.120681918,0.031926302,0.072962689,0.139452487,0
Clean read,5,-0.030837887,0.164293538,-0.213062698,0.170538203,3
Correction,5,0.309499691,0.177932501,0.148294191,0.521353060,0
Detection,5,0.193505204,0.176896522,0.029813964,0.405497860,0
