implementation_id,area_um2,fmax_mhz,meets_10ns
secded-rtl-combinational-72-64-v1,18644.1,243.881,True
secded-rtl-pipelined-72-64-v1,25486.9,355.849,True
shortened-bch-78-64-t2-v1-rtl-syndrome-chien-v1,57303.7,67.6566,False
