architecture,seeds,area_mean_um2,area_min_um2,area_max_um2,frequency_mean_mhz,frequency_min_mhz,frequency_max_mhz,wirelength_mean_um,wirelength_min_um,wirelength_max_um,energy_mean_pj,energy_min_pj,energy_max_pj,feasibility
SECDED comb.,5,18649.64,18594.1,18728.0,238.88714393052732,225.6450062503667,245.06140013380352,44917.0,44609.0,45257.0,145.76888107636458,144.8338756933754,146.49493452254939,5/5
SECDED pipe.,5,25587.54,25486.9,25639.6,349.9777367952565,347.5420091403549,355.84909151726936,49964.2,49703.0,50101.0,111.62919634507416,110.75615059770901,112.21881788131216,5/5
Hsiao algorithmic,5,19190.64,19135.9,19257.2,212.91200827244285,207.01790704895976,215.61947475095948,49810.4,49599.0,50142.0,149.56895097903796,148.87430114482032,150.77111060360002,5/5
"BCH (78,64,t=2)",5,57239.659999999996,56992.2,57762.9,66.6361301545659,65.89790174491054,67.66261525480726,185035.2,179964.0,191875.0,,,,0/5
