architecture_id,ESII,NESII,legacy_GREEN_score,EPC,GSE,GCI,GSE_relative,comparison_status,source_ids
U0,,,,,,,,NOT_COMPUTED_MISSING_QUALIFIED_SHARED_INPUTS,LEGACY_METRIC_SPEC;GREEN_MATRIX_V2_METADATA
E0,,,,,,,,NOT_COMPUTED_MISSING_QUALIFIED_SHARED_INPUTS,LEGACY_METRIC_SPEC;GREEN_MATRIX_V2_METADATA
