claim_id,paper_section,experiment,baseline_identity,changed_identity,condition,seed,metric,raw_value,display_value,unit,source_artifact,source_hash,qualification_status
SEC10_TIMING,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,aggregate_mean,signed-slack-derived frequency effect,46.62935498217704,+46.6,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_ENERGY,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,11,energy/op effect,-24.016027025898108,-24.0,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_ENERGY,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,13,energy/op effect,-23.79867187892941,-23.8,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_ENERGY,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,17,energy/op effect,-23.52597096131095,-23.5,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_ENERGY,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,19,energy/op effect,-23.235413315978757,-23.2,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_ENERGY,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,23,energy/op effect,-22.518942930942384,-22.5,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SEC10_ENERGY,Abstract; Results; Conclusion,Temporal SECDED,secded_comb,secded_pipe,10 ns,aggregate_mean,energy/op effect,-23.419005222611922,-23.4,percent,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_AREA_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,11,standard_cell_instance_area_um2,18644.1,18644,um2,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_AREA_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,13,standard_cell_instance_area_um2,18626.6,18627,um2,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
SECDED_COMB_AREA_ABS,Results,10 ns absolute scale,secded_comb,secded_comb,10 ns,17,standard_cell_instance_area_um2,18728.0,18728,um2,docs/date2027/revision2/results/REV2_MANUSCRIPT_EVIDENCE.json,724d1ba023c7a6f3d68324c21f9999af46104602a35f0b93ccd8f73bcfcd165b,QUALIFIED_MATCHED_PHYSICAL
