family,comparison,reference_hardware_identity,candidate_hardware_identity,seed,activity_class,internal_power_reference,internal_power_candidate,internal_power_delta,internal_power_effect_pct,switching_power_reference,switching_power_candidate,switching_power_delta,switching_power_effect_pct,leakage_power_reference,leakage_power_candidate,leakage_power_delta,leakage_power_effect_pct,total_power_reference,total_power_candidate,total_power_delta,total_power_effect_pct,energy_per_op_reference,energy_per_op_candidate,energy_per_op_delta,energy_per_op_effect_pct
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,11,W0,0.006786616984755,0.007129232399166,0.00034261541441099955,5.048397680031558,0.007788169197738,0.00394526636228,-0.003842902835458,-49.342826765681146,7.300083204598e-09,9.768537090338e-09,2.4684538857400003e-09,33.814051382116176,0.01457479409873,0.01107450760901,-0.0035002864897200007,-24.01602702589811,145.76251578139872,110.756150597709,-35.006365183689724,-24.01602702589811
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,11,W1,0.006786080542952,0.007128867320716,0.0003427867777640002,5.051321975835044,0.007787120062858,0.00394492642954,-0.0038421936333179994,-49.34036719998704,7.300063664673e-09,9.768569952939e-09,2.468506288266e-09,33.814859728029155,0.01457320805639,0.01107380352914,-0.00349940452725,-24.012588811669346,145.7466537719564,110.74910909492915,-34.99754467702725,-24.012588811669332
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,11,W2,0.006786448415369,0.007129082456231,0.00034263404086200006,5.048797543145689,0.007787812035531,0.003945120610297,-0.0038426914252339996,-49.342375081758014,7.300062332405e-09,9.76857528201e-09,2.4685129496049996e-09,33.814957149711766,0.01457426790148,0.01107421237975,-0.0035000555217299997,-24.015309347885484,145.7572532827015,110.75319800987975,-35.004055272821745,-24.015309347885495
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,13,W0,0.006703948136419,0.00719641149044,0.0004924633540210003,7.34587058252596,0.007899085991085,0.003931290004402,-0.003967795986683001,-50.23107725578757,7.288157632956e-09,9.801802924869e-09,2.5136452919130006e-09,34.48944738169024,0.01460304111242,0.01112771127373,-0.0034753298386899986,-23.79867187892941,146.0450141653124,111.28824044857375,-34.756773716738664,-23.7986718789294
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,13,W1,0.00670349271968,0.007196043618023,0.0004925508983430003,7.347675591516301,0.007898204959929,0.003930953331292,-0.003967251628637,-50.229788271696904,7.288138093031e-09,9.801835787471e-09,2.5136976944399994e-09,34.490258861088606,0.01460170559585,0.01112700719386,-0.0034746984019900003,-23.79652417439204,146.03165766409586,111.28119894579388,-34.750458718301985,-23.79652417439203
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,13,W2,0.006703813094646,0.007196262478828,0.0004924493841820003,7.345810171457412,0.007898816838861,0.003931145649403,-0.0039676711894579995,-50.23120893166746,7.288136760764e-09,9.801841116541e-09,2.513704355777e-09,34.49035656561272,0.01460263691843,0.01112741883844,-0.0034752180799899994,-23.7985652824383,146.04097182121845,111.28531580323843,-34.755656017980016,-23.79856528243831
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,17,W0,0.006813587620854,0.007249136455357,0.00043554883450300057,6.392356842523594,0.007834433577955,0.003952791448683,-0.0038816421292719996,-49.5459191867348,7.337091378901e-09,9.837583192507e-09,2.5004918136060007e-09,34.08015090007699,0.01464802864939,0.01120193768293,-0.003446090966460001,-23.52597096131096,146.4949345225494,112.03057876698293,-34.46435575556649,-23.52597096131096
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,17,W1,0.006813040003181,0.007248766720295,0.0004357267171140001,6.395481560515726,0.007833362556994,0.003952454775572,-0.0038809077814219994,-49.54331876234862,7.337071838975e-09,9.837616055108e-09,2.5005442161330004e-09,34.08095587738351,0.01464641001076,0.01120123174042,-0.0034451782703400005,-23.522339384251822,146.47874651761077,112.02351863594043,-34.45522788167034,-23.52233938425181
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,17,W2,0.006813407875597,0.007248987443745,0.0004355795681480002,6.392976555947549,0.007834055460989,0.003952646162361,-0.0038814092986279997,-49.545338528124184,7.337070506708e-09,9.837621384179e-09,2.500550877471e-09,34.081052855970825,0.01464747078717,0.01120164338499,-0.0034458274021799996,-23.525067585034996,146.4893553424872,112.027635493285,-34.46171984920218,-23.525067585034996
secded,pipelined_vs_combinational,secded-rtl-combinational-72-64-v1,secded-rtl-pipelined-72-64-v1,19,W0,0.006754889618605,0.007258250378072,0.0005033607594670001,7.451798443613256,0.007814452052116,0.003925839904696,-0.0038886121474200003,-49.761801870254494,7.305763105592e-09,9.836550241005e-09,2.5307871354130004e-09,34.64096903820872,0.01456934958696,0.01118410099298,-0.003385248593980001,-23.23541331597876,145.70806521918698,111.85219403079299,-33.85587118839399,-23.23541331597876
