hardware_identity,family,architecture,seed,reference_activity_class,candidate_activity_class,reference_origin,candidate_origin,internal_power_reference,internal_power_candidate,internal_power_delta,internal_power_effect_pct,switching_power_reference,switching_power_candidate,switching_power_delta,switching_power_effect_pct,leakage_power_reference,leakage_power_candidate,leakage_power_delta,leakage_power_effect_pct,total_power_reference,total_power_candidate,total_power_delta,total_power_effect_pct,energy_per_op_reference,energy_per_op_candidate,energy_per_op_delta,energy_per_op_effect_pct
secded-rtl-combinational-72-64-v1,secded,secded_comb,11,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006786616984755,0.006786080542952,-5.364418030001997e-07,-0.007904406631542571,0.007788169197738,0.007787120062858,-1.0491348799998926e-06,-0.013470879398780333,7.300083204598e-09,7.300063664673e-09,-1.9539925000137822e-14,-0.00026766715464088264,0.01457479409873,0.01457320805639,-1.5860423400008983e-06,-0.010882090884145601,145.76251578139872,145.7466537719564,-0.01586200944231564,-0.010882090884123397
secded-rtl-combinational-72-64-v1,secded,secded_comb,11,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006786616984755,0.006786448415369,-1.6856938600019744e-07,-0.002483850000356558,0.007788169197738,0.007787812035531,-3.571622069998767e-07,-0.004585958495917364,7.300083204598e-09,7.300062332405e-09,-2.0872193000264925e-14,-0.000285917193210139,0.01457479409873,0.01457426790148,-5.261972500000128e-07,-0.0036103237303741764,145.76251578139872,145.7572532827015,-0.005262498697220508,-0.003610323730351972
secded-rtl-combinational-72-64-v1,secded,secded_comb,13,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006703948136419,0.00670349271968,-4.554167389999794e-07,-0.006793261668092132,0.007899085991085,0.007898204959929,-8.810311560008416e-07,-0.011153583553780155,7.288157632956e-09,7.288138093031e-09,-1.9539925000137822e-14,-0.00026810513691355453,0.01460304111242,0.01460170559585,-1.33551656999846e-06,-0.00914546880829148,146.0450141653124,146.03165766409586,-0.013356501216549077,-0.00914546880829148
secded-rtl-combinational-72-64-v1,secded,secded_comb,13,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006703948136419,0.006703813094646,-1.3504177300005527e-07,-0.002014361839497436,0.007899085991085,0.007898816838861,-2.6915222400142325e-07,-0.003407384402509539,7.288157632956e-09,7.288136760764e-09,-2.0872192000203564e-14,-0.0002863850241952015,0.01460304111242,0.01460263691843,-4.0419399000013456e-07,-0.002767875450659929,146.0450141653124,146.04097182121845,-0.004042344093960537,-0.0027678754506377246
secded-rtl-combinational-72-64-v1,secded,secded_comb,17,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006813587620854,0.006813040003181,-5.476176729996007e-07,-0.008037141421990412,0.007834433577955,0.007833362556994,-1.0710209610003546e-06,-0.013670687872247012,7.337091378901e-09,7.337071838975e-09,-1.9539926000199183e-14,-0.0002663170593275588,0.01464802864939,0.01464641001076,-1.618638629999683e-06,-0.011050214801888725,146.4949345225494,146.47874651761077,-0.016188004938641143,-0.011050214801899827
secded-rtl-combinational-72-64-v1,secded,secded_comb,17,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006813587620854,0.006813407875597,-1.797452569996666e-07,-0.0026380413227444777,0.007834433577955,0.007834055460989,-3.7811696599991673e-07,-0.0048263472047782585,7.337091378901e-09,7.337070506708e-09,-2.0872193000264925e-14,-0.00028447503135353713,0.01464802864939,0.01464747078717,-5.578622200002464e-07,-0.0038084457189002663,146.4949345225494,146.4893553424872,-0.005579180062227351,-0.0038084457189002663
secded-rtl-combinational-72-64-v1,secded,secded_comb,19,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006754889618605,0.006754348985851,-5.406327539996328e-07,-0.00800357643906402,0.007814452052116,0.007813389413059,-1.0626390569996175e-06,-0.013598382201496229,7.305763105592e-09,7.305743565666e-09,-1.9539926000199183e-14,-0.00026745906920311313,0.01456934958696,0.01456774584949,-1.6037374700010598e-06,-0.011007611976288079,145.70806521918698,145.6920262407495,-0.01603897843747859,-0.011007611976288079
secded-rtl-combinational-72-64-v1,secded,secded_comb,19,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006754889618605,0.006754705682397,-1.8393620799996707e-07,-0.0027230083448515074,0.007814452052116,0.007814077660441,-3.7439167500062653e-07,-0.0047910163438635855,7.305763105592e-09,7.305742233399e-09,-2.0872192999437744e-14,-0.000285694905488576,0.01456934958696,0.01456879079342,-5.587935400005323e-07,-0.003835404845398127,145.70806521918698,145.7024767249934,-0.005588494193574434,-0.0038354048454092293
secded-rtl-combinational-72-64-v1,secded,secded_comb,23,W0,W1,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006707548629493,0.006707010325044,-5.383044490003125e-07,-0.008025352908114236,0.007774383760989,0.007773327175528,-1.0565854610001396e-06,-0.01359060079207941,7.270191115794e-09,7.270171575868e-09,-1.9539926000199183e-14,-0.00026876770760075885,0.0144819393754,0.01448034495115,-1.5944242500003092e-06,-0.01100974260884735,144.8338756933754,144.81792985645117,-0.01594583692423157,-0.011009742608825146
secded-rtl-combinational-72-64-v1,secded,secded_comb,23,W0,W2,DATE_BASELINE,SUSTAINABILITY_EXTENSION,0.006707548629493,0.00670736702159,-1.8160790299977941e-07,-0.0027075152642441758,0.007774383760989,0.007774014025927,-3.6973506200004697e-07,-0.004755811822099165,7.270191115794e-09,7.270170243601e-09,-2.0872193000264925e-14,-0.00028709276920224625,0.0144819393754,0.01448138803244,-5.513429600003533e-07,-0.003807107223063877,144.8338756933754,144.82836171243244,-0.005513980942964736,-0.003807107223063877
