hardware_identity,family,architecture,activity_class,n,evidence_origin,internal_power_mean,internal_power_sample_std,internal_power_min,internal_power_max,switching_power_mean,switching_power_sample_std,switching_power_min,switching_power_max,leakage_power_mean,leakage_power_sample_std,leakage_power_min,leakage_power_max,total_power_mean,total_power_sample_std,total_power_min,total_power_max,sequential_total_power_mean,sequential_total_power_sample_std,sequential_total_power_min,sequential_total_power_max,combinational_total_power_mean,combinational_total_power_sample_std,combinational_total_power_min,combinational_total_power_max,clock_total_power_mean,clock_total_power_sample_std,clock_total_power_min,clock_total_power_max,energy_per_op_mean,energy_per_op_sample_std,energy_per_op_min,energy_per_op_max
hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao,hsiao_flat,W0,5,DATE_BASELINE,0.0069745042361318,5.791338964725994e-05,0.006907750386745,0.007042227312922,0.0079808879643678,4.651015104766631e-05,0.007924395613372,0.008049633353949,7.4715012843284e-09,2.527558092320517e-11,7.448124783593e-09,7.510577937353e-09,0.014955399557948,8.121032266301513e-05,0.01488594152033,0.01507560350001,0.0022316143382342,3.406525329375783e-06,0.002227291697636,0.002236288972199,0.011288654245438,4.992901506732228e-05,0.01122448220849,0.01136303506792,0.0014351314865052,5.0201648068400176e-05,0.001375272171572,0.001487428904511,149.56895097903796,0.8121844369528051,148.87430114482035,150.77111060360002
hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao,hsiao_flat,W1,5,SUSTAINABILITY_EXTENSION,0.00697454912588,5.792209210680652e-05,0.006907780189067,0.007042281329632,0.0079809758812188,4.652658233171631e-05,0.007924441248178,0.008049747906625,7.4715092779342e-09,2.5275580923330652e-11,7.448132777199e-09,7.510585930959e-09,0.014955532550812,8.124087550875179e-05,0.01488602161407,0.01507577300072,0.0022316170390696,3.4066900184294596e-06,0.002227293793112,0.002236291533336,0.011288786865772,4.9952634036144075e-05,0.01122456789017,0.01136320549995,0.0014351314865052,5.0201648068400176e-05,0.001375272171572,0.001487428904511,149.57028104067084,0.8124899959630313,148.8751021623141,150.77280578020074
hsiao-algorithmic-combinational-72-64-rev2-v1,hsiao,hsiao_flat,W2,5,SUSTAINABILITY_EXTENSION,0.0069741354323926,5.787292124663511e-05,0.006907453760505,0.007041811011732,0.007980204373598,4.6464880610682296e-05,0.007923829369247,0.008048856630921,7.4714873399274e-09,2.5275821530712273e-11,7.448111016828e-09,7.510564614677e-09,0.014954347163442001,8.108697172888113e-05,0.01488506328315,0.01507441606373,0.0022315569687632,3.4061917112696358e-06,0.002227234886959,0.002236231230199,0.011287657916544,4.9846528028108166e-05,0.01122366264462,0.01136190909892,0.0014351314865052,5.0201648068400176e-05,0.001375272171572,0.001487428904511,149.55842598158347,0.8109508042605468,148.86551789478318,150.75923505336377
hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,hsiao,hsiao_hierarchical,W0,5,DATE_BASELINE,0.0067463535815476,5.250054925932507e-05,0.006674079690129,0.006815666798502,0.008408259227871799,0.00017854266721926073,0.008233274333179,0.008636406622827,7.2276129969850004e-09,2.60908264926937e-11,7.202949792173e-09,7.271471424986e-09,0.015154620259998,0.00021540289475803376,0.01490736193955,0.01545208133757,0.0022552373353391998,3.8096547908909095e-06,0.00225086719729,0.002260133624077,0.011424571089446,0.00017528127615878516,0.01120323501527,0.01164624653757,0.0014748132089152,4.73055962219868e-05,0.001421786262654,0.001547866966575,151.56135722024,2.1542443504750928,149.08852675743955,154.53626545703756
hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,hsiao,hsiao_hierarchical,W1,5,SUSTAINABILITY_EXTENSION,0.0067464016377926,5.249715248961353e-05,0.006674133706838,0.006815715227276,0.0084083972498776,0.00017855274542241572,0.008233400061727,0.008636567741632,7.2276187701446e-09,2.6090826492396533e-11,7.202955565333e-09,7.271477198145e-09,0.015154806151986,0.0002154134541422269,0.01490754075348,0.01545228995383,0.0022552415262908,3.808214269891496e-06,0.002250872552395,0.002260141074657,0.01142475325614,0.00017529715043608905,0.01120340079069,0.01164645887911,0.0014748132089152,4.73055962219868e-05,0.001421786262654,0.001547866966575,151.563216326012,2.154349954876413,149.09031507555346,154.53835182825384
hsiao-hierarchical-nibble-decode-combinational-72-64-breadth-v1,hsiao,hsiao_hierarchical,W2,5,SUSTAINABILITY_EXTENSION,0.0067459139041604,5.2494313799028506e-05,0.006673651747406,0.006815228611231,0.008407460525632,0.00017852756741077686,0.008232497610152,0.008635608479381,7.2276134410742e-09,2.6090826492647876e-11,7.202950236262e-09,7.271471869075e-09,0.015153381973506,0.00021538775453441858,0.01490615680814,0.01545084454119,0.0022551932372154,3.80744699419502e-06,0.002250821562484,0.002260088920593,0.011423373967408,0.00017527248261184827,0.01120205782354,0.01164505537599,0.0014748132089152,4.73055962219868e-05,0.001421786262654,0.001547866966575,151.5489731170335,2.154092933098718,149.07647423820814,154.5238962564412
secded-rtl-combinational-72-64-v1,secded,secded_comb,W0,5,DATE_BASELINE,0.0067533181980252,4.81558362897368e-05,0.006703948136419,0.006813587620854,0.0078221049159766,4.890191653200291e-05,0.007774383760989,0.007899085991085,7.3002572875682e-09,2.4685374962692894e-11,7.270191115794e-09,7.337091378901e-09,0.01457543056458,6.084983587074943e-05,0.0144819393754,0.01464802864939,0.0022086626850068,4.013091320065142e-06,0.00220415671356,0.002214402891695,0.010914188809694,4.271969554618001e-05,0.01085710339248,0.01097556762397,0.0014525775099172,4.3318329774232066e-05,0.001410436932929,0.00152168632485,145.76888107636458,0.6085592085433693,144.8338756933754,146.4949345225494
secded-rtl-combinational-72-64-v1,secded,secded_comb,W1,5,SUSTAINABILITY_EXTENSION,0.0067527945153416,4.813199028275597e-05,0.00670349271968,0.006813040003181,0.0078210808336736,4.896906000252842e-05,0.007773327175528,0.007898204959929,7.3002377476425995e-09,2.4685374962568584e-11,7.270171575868e-09,7.337071838975e-09,0.014573882892728,6.0872306670357724e-05,0.01448034495115,0.01464641001076,0.0022085683420298,4.012005447085875e-06,0.002204063115641,0.002214305568486,0.010912735387682001,4.281046204009601e-05,0.01085560955107,0.01097432337701,0.0014525775099172,4.3318329774232066e-05,0.001410436932929,0.00152168632485,145.75340281017273,0.6087839390102397,144.81792985645117,146.47874651761077
secded-rtl-combinational-72-64-v1,secded,secded_comb,W2,5,SUSTAINABILITY_EXTENSION,0.0067531484179198,4.814672240858019e-05,0.006703813094646,0.006813407875597,0.0078217552043498,4.893898071593482e-05,0.007774014025927,0.007898816838861,7.3002364153754e-09,2.4685374962570394e-11,7.270170243601e-09,7.337070506708e-09,0.014574910886588,6.08647378052258e-05,0.01448138803244,0.01464747078717,0.0022086126729846,4.012837917678042e-06,0.002204104792327,0.002214350039139,0.010913717746734001,4.2772719786888204e-05,0.01085660420358,0.01097521372139,0.0014525775099172,4.3318329774232066e-05,0.001410436932929,0.00152168632485,145.76368377676658,0.6087082427900706,144.82836171243244,146.4893553424872
secded-rtl-pipelined-72-64-v1,secded,secded_pipe,W0,5,DATE_BASELINE,0.007210383657366,5.158988971659501e-05,0.007129232399166,0.007258250378072,0.0039514098316432,3.018130337387543e-05,0.003925839904696,0.004001861438155,9.8134362858106e-09,2.8959304152348456e-11,9.768537090338e-09,9.837583192507e-09,0.011161803454162,5.9930414358402025e-05,0.01107450760901,0.01122075971216,0.0037737301085142,4.781157875079697e-06,0.00376893999055,0.003780646715313,0.00485703619197,2.5967966153892988e-05,0.00483306357637,0.00489418907091,0.0025310372002424,6.115732837706443e-05,0.002429218962789,0.002574537647888,111.62919634507416,0.5993640739983843,110.756150597709,112.21881788131216
