panel,metric,mean_percent
power,Internal,6.772351805117499
power,Switching,-49.48133171156401
power,Total,-23.419005222611926
power,"Comb.
group",-55.496920516872436
power,"Seq.
group",70.8610032704096
power,"Clock
group",74.3379357275997
10 ns,Area,37.201863692705786
10 ns,Timing,46.62935498217704
10 ns,Energy,-23.419005222611922
5 ns,Area,36.721137579086886
5 ns,Timing,68.6296531578486
5 ns,Energy,-19.336605982713372
