carbon_group_range,energy_group_range,factor,reliability_group_range,winner_distribution_max_total_variation
0.05392000742513468,0.10088258989278046,fault_profile_ids,0.31080405143427253,1.0
0.04955112196490494,0.09270854650480723,reliability_requirement_ids,0.7449714762927316,0.6666666666666666
0.18332116701333512,0.3429879741049759,workload_ids,0.0,0.0
0.2957850175208769,0.0,carbon_intensity_kgco2_per_kwh,0.0,0.0
0.07445995889682472,0.13931217474795984,scrub_interval_s,0.0,0.0
0.05666376635539633,0.10601607410660513,supply_voltage_v,0.0,0.0
0.04541502924738051,0.08497005080894002,temperature_c,0.0,0.0
