activity_coverage_fraction,architecture_id,clock_hz,codeword_bits,compiler_id,correction_capability_bits,decoder_architecture,design_id,detection_capability_bits,diagnostic_tool_power_w,ecc_family,fault_environment_id,implementation_id,initiation_interval_cycles,interleaving_id,latency_s,logical_control_corrected_fraction,logical_control_due_fraction,logical_control_retry_fraction,logical_control_sdc_fraction,logical_control_success_fraction,logical_detected_failure_count,logical_pattern_count,logical_sdc_count,logical_success_after_retry_count,logical_success_corrected_count,logical_success_normal_count,logical_timeout_count,observed_macro_area_um2,parity_bits,payload_bits,physical_interleaver_implemented,pipeline_stages,process_route_id,rate_semantics,record_id,service_policy_id,source_record_id,technology_id,temperature_c,throughput_services_per_s,voltage_v,workload_id,record_origin,seed,pvt,physical_flow,routed_total_area_um2,wirelength_um,via_count,setup_wns_ns,hold_wns_ns,power_internal_w,power_switching_w,power_leakage_w,power_total_vectorless_w,nominal_initiation_capacity_services_per_s,implementation_hash,netlist_hash,physical_configuration_hash,timing_constraint_hash,activity_file_hash,workload_hash,source_artifact_hash,source_result_directory,qualification_status,blocking_reason
0.4868421052631579,U0,,64,SRAM22_RESEARCH_MACROS,0,NONE,U0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,0,0.001893166452646,UNPROTECTED,PERSISTENT_SEQUENCE_1_2_0_4,A10_U0_ORIGINAL_LIBERTY,1,I0,,0,0,0,1,0,0,4,4,0,0,0,0,201266.5968,0,64,false,0,SKY130_ROUTE_UNCHARACTERIZED,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,MP|U0|PERSISTENT_SEQUENCE_1_2_0_4|periodic_2_steps,P0_NO_SCRUB_NO_RETRY,U0|PERSISTENT_SEQUENCE_1_2_0_4|periodic_2_steps,SKY130,,,,W0_READ_DOMINANT_SEED,V3_FOUNDATION,,,,,,,,,,,,,,,,,,,,,,,
0.043451652386780906,E0,,72,SRAM22_RESEARCH_MACROS,1,HSIAO_COMBINATIONAL,E0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,2,0.005495859775692,HSIAO_SECDED,PERSISTENT_SEQUENCE_1_2_0_4,A10_E0_ORIGINAL_LIBERTY,,I0,,0.25,0.5,0,0.25,0.25,2,4,1,0,1,0,0,260331.5664,8,64,false,,SKY130_ROUTE_UNCHARACTERIZED,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,MP|E0|PERSISTENT_SEQUENCE_1_2_0_4|none,P0_NO_SCRUB_NO_RETRY,E0|PERSISTENT_SEQUENCE_1_2_0_4|none,SKY130,,,,W0_READ_DOMINANT_SEED,V3_FOUNDATION,,,,,,,,,,,,,,,,,,,,,,,
0.043451652386780906,E0,,72,SRAM22_RESEARCH_MACROS,1,HSIAO_COMBINATIONAL,E0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,2,0.005495859775692,HSIAO_SECDED,PERSISTENT_SEQUENCE_1_2_0_4,A10_E0_ORIGINAL_LIBERTY,,I0,,0.75,0,0,0,1,0,4,0,0,3,1,0,260331.5664,8,64,false,,SKY130_ROUTE_UNCHARACTERIZED,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,MP|E0|PERSISTENT_SEQUENCE_1_2_0_4|scrub_on_correct,P0_NO_SCRUB_NO_RETRY,E0|PERSISTENT_SEQUENCE_1_2_0_4|scrub_on_correct,SKY130,,,,W0_READ_DOMINANT_SEED,V3_FOUNDATION,,,,,,,,,,,,,,,,,,,,,,,
0.043451652386780906,E0,,72,SRAM22_RESEARCH_MACROS,1,HSIAO_COMBINATIONAL,E0|SKY130|I0|W0_READ_DOMINANT_SEED|P0_NO_SCRUB_NO_RETRY,2,0.005495859775692,HSIAO_SECDED,PERSISTENT_SEQUENCE_1_2_0_4,A10_E0_ORIGINAL_LIBERTY,,I0,,0.25,0.5,0,0.25,0.25,2,4,1,0,1,0,0,260331.5664,8,64,false,,SKY130_ROUTE_UNCHARACTERIZED,ENUMERATED_MASK_FREQUENCY_NOT_EVENT_RATE,MP|E0|PERSISTENT_SEQUENCE_1_2_0_4|periodic_2_steps,P0_NO_SCRUB_NO_RETRY,E0|PERSISTENT_SEQUENCE_1_2_0_4|periodic_2_steps,SKY130,,,,W0_READ_DOMINANT_SEED,V3_FOUNDATION,,,,,,,,,,,,,,,,,,,,,,,
0.4868421052631579,U0,100000000.0,64,SRAM22_RESEARCH_MACROS,0,NONE,U0|SKY130|I0|read_dominant|P0_NO_SCRUB_NO_RETRY,0,0.001893166452646,UNPROTECTED,PHYSICAL_EVENT_DISTRIBUTION_UNAVAILABLE,A09_U0_UPSTREAM_ORIGINAL_seed11,1,I0,1e-08,,,,,,,,,,,,,201267,0,64,false,1,ORFS_ATTEMPT09_UPSTREAM_ORIGINAL,PHYSICAL_EVENT_PROBABILITY_UNAVAILABLE,MP31|U0|UPSTREAM_ORIGINAL|seed11|I0,P0_NO_SCRUB_NO_RETRY,U0-UPSTREAM_ORIGINAL-seed11,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,25.0,,1.8,read_dominant,V3_1_PHYSICAL_POPULATION,11,TT/25C/1.8V,"OpenROAD-flow-scripts SKY130HD, frozen image sha256:f05cee3219a02f26289f02f00e11a3fc986ab51a482a0000a2da810cda219a6e",206833,22186,1084,4.46099,0.0249489,0.000772797,3.10699e-05,6.42569e-07,0.00080451,100000000.0,1a263502ae81073f6cfafceb41ba7c717378f57e1b1ba4039e129fdc8b047f99,90db8ba99880047f277844cef511ea59a9072f0c0ec89101342a14f37f9bfb31,9c3815a782be62795be0b7cf4eb467032c2bb0c36d6af77984fa1ad46b732830,83b9951d04766eeb85d673794aefe8a3b540af1686222a1a5017cb62e27a31ad,a09fed258ee5e5fbe3859629f69ef57ffb59cea05053ea4611c1f95d1c7298c0,d414d57ee0438a1610b4435dd8b61422d00ba6eb98ac960f7c11f411a178f4be,d70181dc199692bcd152a8192a5a43825e6a9c19c95860e16c8bdcb3aee5eab7,campaigns/iscas_sustainability_extension/memory_compiler/gate3_attempt09_sram22_residual_interface_drv_and_provenance_closure/raw/openroad/work/results/sky130hd/attempt09_u0/seed11,DIAGNOSTIC_ONLY_RESIDUAL_SRAM_INPUT_DRV_FAIL,residual SRAM input transition violations; power is vectorless except the separately labelled seed-11 partial-annotation diagnostic
0.043451652386780906,E0,100000000.0,72,SRAM22_RESEARCH_MACROS,1,HSIAO_COMBINATIONAL,E0|SKY130|I0|read_dominant|P0_NO_SCRUB_NO_RETRY,2,0.005495859775692,HSIAO_SECDED,PHYSICAL_EVENT_DISTRIBUTION_UNAVAILABLE,A09_E0_UPSTREAM_ORIGINAL_seed11,1,I0,1e-08,,,,,,,,,,,,,260332,8,64,false,1,ORFS_ATTEMPT09_UPSTREAM_ORIGINAL,PHYSICAL_EVENT_PROBABILITY_UNAVAILABLE,MP31|E0|UPSTREAM_ORIGINAL|seed11|I0,P0_NO_SCRUB_NO_RETRY,E0-UPSTREAM_ORIGINAL-seed11,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,25.0,,1.8,read_dominant,V3_1_PHYSICAL_POPULATION,11,TT/25C/1.8V,"OpenROAD-flow-scripts SKY130HD, frozen image sha256:f05cee3219a02f26289f02f00e11a3fc986ab51a482a0000a2da810cda219a6e",276033,79915,6793,0.611109,0.00941408,0.00142725,0.000642448,7.34488e-07,0.00207044,100000000.0,0331bd0c05c8fd41e5be525d375b87b113124f5cf339ef15cc63084c3789ee3d,fb2aa6861d2f2203a3e1d622ed68d85d0658228d9621419453c98c4fe071605e,aa3f5945ea6f76d5cd471acf06d9aacb29f5a7331f7e19a0957a35b6d4ffcb4a,e38b1f590237cf3f4f247268476991ab784c581d07d800e0f395e01c9d9971e8,da0025a410d64c1269ecbd5ff84776ca43ceafafdd2bde924d4b1d5217eaf67b,d414d57ee0438a1610b4435dd8b61422d00ba6eb98ac960f7c11f411a178f4be,d70181dc199692bcd152a8192a5a43825e6a9c19c95860e16c8bdcb3aee5eab7,campaigns/iscas_sustainability_extension/memory_compiler/gate3_attempt09_sram22_residual_interface_drv_and_provenance_closure/raw/openroad/work/results/sky130hd/attempt09_e0/seed11,DIAGNOSTIC_ONLY_RESIDUAL_SRAM_INPUT_DRV_FAIL,residual SRAM input transition violations; power is vectorless except the separately labelled seed-11 partial-annotation diagnostic
,U0,100000000.0,64,SRAM22_RESEARCH_MACROS,0,NONE,U0|SKY130|I0|read_dominant|P0_NO_SCRUB_NO_RETRY,0,,UNPROTECTED,PHYSICAL_EVENT_DISTRIBUTION_UNAVAILABLE,A09_U0_UPSTREAM_ORIGINAL_seed13,1,I0,1e-08,,,,,,,,,,,,,201267,0,64,false,1,ORFS_ATTEMPT09_UPSTREAM_ORIGINAL,PHYSICAL_EVENT_PROBABILITY_UNAVAILABLE,MP31|U0|UPSTREAM_ORIGINAL|seed13|I0,P0_NO_SCRUB_NO_RETRY,U0-UPSTREAM_ORIGINAL-seed13,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,25.0,,1.8,read_dominant,V3_1_PHYSICAL_POPULATION,13,TT/25C/1.8V,"OpenROAD-flow-scripts SKY130HD, frozen image sha256:f05cee3219a02f26289f02f00e11a3fc986ab51a482a0000a2da810cda219a6e",206833,22183,1124,4.4588,0.0275344,0.000772798,3.11186e-05,6.42569e-07,0.000804559,100000000.0,dc5e2d90770996b06d47b517db0f21b7d35be60d3f55d836b2818f4ed20091e5,90db8ba99880047f277844cef511ea59a9072f0c0ec89101342a14f37f9bfb31,9c3815a782be62795be0b7cf4eb467032c2bb0c36d6af77984fa1ad46b732830,83b9951d04766eeb85d673794aefe8a3b540af1686222a1a5017cb62e27a31ad,,,d70181dc199692bcd152a8192a5a43825e6a9c19c95860e16c8bdcb3aee5eab7,campaigns/iscas_sustainability_extension/memory_compiler/gate3_attempt09_sram22_residual_interface_drv_and_provenance_closure/raw/openroad/work/results/sky130hd/attempt09_u0/seed13,DIAGNOSTIC_ONLY_RESIDUAL_SRAM_INPUT_DRV_FAIL,residual SRAM input transition violations; power is vectorless except the separately labelled seed-11 partial-annotation diagnostic
,E0,100000000.0,72,SRAM22_RESEARCH_MACROS,1,HSIAO_COMBINATIONAL,E0|SKY130|I0|read_dominant|P0_NO_SCRUB_NO_RETRY,2,,HSIAO_SECDED,PHYSICAL_EVENT_DISTRIBUTION_UNAVAILABLE,A09_E0_UPSTREAM_ORIGINAL_seed13,1,I0,1e-08,,,,,,,,,,,,,260332,8,64,false,1,ORFS_ATTEMPT09_UPSTREAM_ORIGINAL,PHYSICAL_EVENT_PROBABILITY_UNAVAILABLE,MP31|E0|UPSTREAM_ORIGINAL|seed13|I0,P0_NO_SCRUB_NO_RETRY,E0-UPSTREAM_ORIGINAL-seed13,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,25.0,,1.8,read_dominant,V3_1_PHYSICAL_POPULATION,13,TT/25C/1.8V,"OpenROAD-flow-scripts SKY130HD, frozen image sha256:f05cee3219a02f26289f02f00e11a3fc986ab51a482a0000a2da810cda219a6e",276030,79728,6662,0.433227,0.00231037,0.00142668,0.000642266,7.34403e-07,0.00206968,100000000.0,c7e48b60a221c3240ebeaba78ef53a722a128156943112808c84d5e262272f75,e3f9208950eee23e804ef0135cd98272a5c06654319b7dd9b2f391b7908b3147,aa3f5945ea6f76d5cd471acf06d9aacb29f5a7331f7e19a0957a35b6d4ffcb4a,e38b1f590237cf3f4f247268476991ab784c581d07d800e0f395e01c9d9971e8,,,d70181dc199692bcd152a8192a5a43825e6a9c19c95860e16c8bdcb3aee5eab7,campaigns/iscas_sustainability_extension/memory_compiler/gate3_attempt09_sram22_residual_interface_drv_and_provenance_closure/raw/openroad/work/results/sky130hd/attempt09_e0/seed13,DIAGNOSTIC_ONLY_RESIDUAL_SRAM_INPUT_DRV_FAIL,residual SRAM input transition violations; power is vectorless except the separately labelled seed-11 partial-annotation diagnostic
,U0,100000000.0,64,SRAM22_RESEARCH_MACROS,0,NONE,U0|SKY130|I0|read_dominant|P0_NO_SCRUB_NO_RETRY,0,,UNPROTECTED,PHYSICAL_EVENT_DISTRIBUTION_UNAVAILABLE,A09_U0_UPSTREAM_ORIGINAL_seed17,1,I0,1e-08,,,,,,,,,,,,,201267,0,64,false,1,ORFS_ATTEMPT09_UPSTREAM_ORIGINAL,PHYSICAL_EVENT_PROBABILITY_UNAVAILABLE,MP31|U0|UPSTREAM_ORIGINAL|seed17|I0,P0_NO_SCRUB_NO_RETRY,U0-UPSTREAM_ORIGINAL-seed17,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,25.0,,1.8,read_dominant,V3_1_PHYSICAL_POPULATION,17,TT/25C/1.8V,"OpenROAD-flow-scripts SKY130HD, frozen image sha256:f05cee3219a02f26289f02f00e11a3fc986ab51a482a0000a2da810cda219a6e",206833,22200,1090,4.46182,0.0246256,0.000772799,3.13192e-05,6.42569e-07,0.000804761,100000000.0,b3bc28660b6d97821c13f7eb4646ff43977ff9fea84da53839bef4e3152b99ae,90db8ba99880047f277844cef511ea59a9072f0c0ec89101342a14f37f9bfb31,9c3815a782be62795be0b7cf4eb467032c2bb0c36d6af77984fa1ad46b732830,83b9951d04766eeb85d673794aefe8a3b540af1686222a1a5017cb62e27a31ad,,,d70181dc199692bcd152a8192a5a43825e6a9c19c95860e16c8bdcb3aee5eab7,campaigns/iscas_sustainability_extension/memory_compiler/gate3_attempt09_sram22_residual_interface_drv_and_provenance_closure/raw/openroad/work/results/sky130hd/attempt09_u0/seed17,DIAGNOSTIC_ONLY_RESIDUAL_SRAM_INPUT_DRV_FAIL,residual SRAM input transition violations; power is vectorless except the separately labelled seed-11 partial-annotation diagnostic
,E0,100000000.0,72,SRAM22_RESEARCH_MACROS,1,HSIAO_COMBINATIONAL,E0|SKY130|I0|read_dominant|P0_NO_SCRUB_NO_RETRY,2,,HSIAO_SECDED,PHYSICAL_EVENT_DISTRIBUTION_UNAVAILABLE,A09_E0_UPSTREAM_ORIGINAL_seed17,1,I0,1e-08,,,,,,,,,,,,,260332,8,64,false,1,ORFS_ATTEMPT09_UPSTREAM_ORIGINAL,PHYSICAL_EVENT_PROBABILITY_UNAVAILABLE,MP31|E0|UPSTREAM_ORIGINAL|seed17|I0,P0_NO_SCRUB_NO_RETRY,E0-UPSTREAM_ORIGINAL-seed17,SKY130HD_WITH_SRAM22_RESEARCH_MACROS,25.0,,1.8,read_dominant,V3_1_PHYSICAL_POPULATION,17,TT/25C/1.8V,"OpenROAD-flow-scripts SKY130HD, frozen image sha256:f05cee3219a02f26289f02f00e11a3fc986ab51a482a0000a2da810cda219a6e",276004,79820,6789,0.126462,0.00436112,0.00142691,0.000628613,7.34473e-07,0.00205625,100000000.0,204d91b0196aa77ce35d195efc0aaa51a1d04d0b81f0f4c8bc369740160dcbc9,d8744a20c29d0174c7f50098d0cd8166aa669c55d42ecc4c589adc8c9b00af72,aa3f5945ea6f76d5cd471acf06d9aacb29f5a7331f7e19a0957a35b6d4ffcb4a,e38b1f590237cf3f4f247268476991ab784c581d07d800e0f395e01c9d9971e8,,,d70181dc199692bcd152a8192a5a43825e6a9c19c95860e16c8bdcb3aee5eab7,campaigns/iscas_sustainability_extension/memory_compiler/gate3_attempt09_sram22_residual_interface_drv_and_provenance_closure/raw/openroad/work/results/sky130hd/attempt09_e0/seed17,DIAGNOSTIC_ONLY_RESIDUAL_SRAM_INPUT_DRV_FAIL,residual SRAM input transition violations; power is vectorless except the separately labelled seed-11 partial-annotation diagnostic
