architecture_id,mean_routed_total_area_um2,mean_wirelength_um,mean_vectorless_power_w,diagnostic_energy_per_requested_service_j,route_evidence_tier,diagnostic_energy_evidence_tier,service_latency_s,service_latency_evidence_tier,initiation_interval_cycles,maximum_sustainable_throughput_services_per_s,physical_sdc_probability,physical_due_probability,fit,manufacturing_carbon_kgco2e,csci_kgco2e_per_correct_service,mrcc_kgco2e_per_additional_correct_service,pareto_status,on_diagnostic_front,global_winner_qualified
U0,206833.0,22199.6,0.0008046112,1.893166452646e-11,E4,E4,1e-08,E3,1,,,,,,,,DIAGNOSTIC_FRONT,true,false
E0,276013.6,79895.2,0.0020662799999999998,5.495859775692e-11,E4,E4,1e-08,E3,1,,,,,,,,DIAGNOSTIC_FRONT,false,false
