run_id,implementation_id,kind,design_top,config,n,k,clock_period_ns,physical_seed,gpl_random_seed,grt_seed,or_seed,attempt,run_directory,expected_stages,activity_traces,status,exit_status,start_time_utc,end_time_utc,failure_reason
boundary72-5ns-seed29-attempt1,boundary-reference-72-64-v1,reference,gate04_boundary_ref_72_64,boundary72.mk,72,64,5.0,29,29,29,29,1,/var/lib/green-ecc-gate04/runs/boundary72-5ns-seed29-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary72-5ns-seed47-attempt1,boundary-reference-72-64-v1,reference,gate04_boundary_ref_72_64,boundary72.mk,72,64,5.0,47,47,47,47,1,/var/lib/green-ecc-gate04/runs/boundary72-5ns-seed47-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary72-5ns-seed71-attempt1,boundary-reference-72-64-v1,reference,gate04_boundary_ref_72_64,boundary72.mk,72,64,5.0,71,71,71,71,1,/var/lib/green-ecc-gate04/runs/boundary72-5ns-seed71-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary72-5ns-seed101-attempt1,boundary-reference-72-64-v1,reference,gate04_boundary_ref_72_64,boundary72.mk,72,64,5.0,101,101,101,101,1,/var/lib/green-ecc-gate04/runs/boundary72-5ns-seed101-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary78-10ns-seed11-attempt1,boundary-reference-78-64-v1,reference,gate04_boundary_ref_78_64,boundary78.mk,78,64,10.0,11,11,11,11,1,/var/lib/green-ecc-gate04/runs/boundary78-10ns-seed11-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary78-10ns-seed29-attempt1,boundary-reference-78-64-v1,reference,gate04_boundary_ref_78_64,boundary78.mk,78,64,10.0,29,29,29,29,1,/var/lib/green-ecc-gate04/runs/boundary78-10ns-seed29-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary78-10ns-seed47-attempt1,boundary-reference-78-64-v1,reference,gate04_boundary_ref_78_64,boundary78.mk,78,64,10.0,47,47,47,47,1,/var/lib/green-ecc-gate04/runs/boundary78-10ns-seed47-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary78-10ns-seed71-attempt1,boundary-reference-78-64-v1,reference,gate04_boundary_ref_78_64,boundary78.mk,78,64,10.0,71,71,71,71,1,/var/lib/green-ecc-gate04/runs/boundary78-10ns-seed71-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary78-10ns-seed101-attempt1,boundary-reference-78-64-v1,reference,gate04_boundary_ref_78_64,boundary78.mk,78,64,10.0,101,101,101,101,1,/var/lib/green-ecc-gate04/runs/boundary78-10ns-seed101-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary78-5ns-seed11-attempt1,boundary-reference-78-64-v1,reference,gate04_boundary_ref_78_64,boundary78.mk,78,64,5.0,11,11,11,11,1,/var/lib/green-ecc-gate04/runs/boundary78-5ns-seed11-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary78-5ns-seed29-attempt1,boundary-reference-78-64-v1,reference,gate04_boundary_ref_78_64,boundary78.mk,78,64,5.0,29,29,29,29,1,/var/lib/green-ecc-gate04/runs/boundary78-5ns-seed29-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary78-5ns-seed47-attempt1,boundary-reference-78-64-v1,reference,gate04_boundary_ref_78_64,boundary78.mk,78,64,5.0,47,47,47,47,1,/var/lib/green-ecc-gate04/runs/boundary78-5ns-seed47-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary78-5ns-seed71-attempt1,boundary-reference-78-64-v1,reference,gate04_boundary_ref_78_64,boundary78.mk,78,64,5.0,71,71,71,71,1,/var/lib/green-ecc-gate04/runs/boundary78-5ns-seed71-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
boundary78-5ns-seed101-attempt1,boundary-reference-78-64-v1,reference,gate04_boundary_ref_78_64,boundary78.mk,78,64,5.0,101,101,101,101,1,/var/lib/green-ecc-gate04/runs/boundary78-5ns-seed101-attempt1,synth;floorplan;place;cts;route;extraction;postroute_sta;gds;def;netlist;sdc;spef,no_error;single_error;double_error,PLANNED,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
