code_id,implementation_id,n,k,r,rate,family,systematic,construction,canonical_matrix_hash,canonical_polynomial_hash,rank_g,rank_h,orthogonality_status,encoder_status,decoder_status,distance_claim,distance_evidence,distance_gate,registration_status,selectability,gate_status,evidence_path
repository-cyclic-63-51-v1,cyclic-rtl-bounded-search-63-51-v1,63,51,12,17/21,BCH candidate / cyclic code,true,"{'deterministic_generator': {'callable': 'green_ecc_phy.matrices:cyclic_systematic', 'parameters': {'generator_polynomial': 4587, 'k': 51, 'n': 63}}}",da68eda6f3ec09f4d759a3860903eca9021ad23f8a0a4a519c3edbb3988ab5f0,,51,12,PASS,PASS,PASS,"{'designed_distance_lower_bound': None, 'exact_minimum_distance': 2, 'method': 'exact dual enumeration plus binary MacWilliams transform'}",EXACT,PASS,registered,false,REJECTED,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json
forge-hotspot-8-4-v1,forge-hotspot-8-4-v1-archived-table-decoder,8,4,4,1/2,SafeForge/CodeForge synthesized binary linear code,true,"{'generator_matrix': [[1, 0, 0, 0, 1, 1, 0, 1], [0, 1, 0, 0, 0, 1, 1, 1], [0, 0, 1, 0, 1, 1, 1, 0], [0, 0, 0, 1, 1, 0, 1, 1]], 'parity_check_matrix': [[1, 0, 1, 1, 1, 0, 0, 0], [1, 1, 1, 0, 0, 1, 0, 0], [0, 1, 1, 1, 0, 0, 1, 0], [1, 1, 0, 1, 0, 0, 0, 1]]}",49dc2e5537bc0a4c1ab13f59c47c38452508d34711701d108fcf8c7c79ac50af,,4,4,PASS,PASS,PASS,"{'designed_distance_lower_bound': 4, 'exact_minimum_distance': 4, 'method': 'dual enumeration plus exact binary MacWilliams transform'}",EXACT,PASS,registered,true,PASS,CANONICAL_CODE_SPECS.json;MINIMUM_DISTANCE_CERTIFICATES.json
